process_id,cluster
30837315,107
29214847,61
34140511,65
32684007,55
16735705,114
74688482,100
27213855,48
12598236,18
21779257,97
22949408,97
18120725,51
10985677,32
13594579,14
11619722,34
32513404,100
13141885,32
33947379,94
24695232,15
23073202,60
15483003,9
13710655,49
31077367,18
65001117,82
42540050,1
23862407,51
19764617,55
71294570,22
25993913,32
89447301,9
24337357,59
13021297,102
19947493,102
29028793,18
32078943,94
13147817,62
19061728,82
97422199,14
11750849,121
30697771,66
17780954,98
27720636,18
33676689,37
17914002,15
23409032,35
14862397,76
29848952,114
22373267,44
10751033,88
19351515,32
77594266,54
80262334,23
19480387,24
10074769,27
19481518,7
42381144,88
30901481,58
41332022,9
15506858,84
18493688,39
68800367,43
10653436,85
10109081,5
51044983,60
15076392,49
21375920,35
13646024,58
48318288,9
21972271,47
25520941,85
31407822,81
14084946,117
22107632,77
19059855,64
58711456,3
95824082,23
11297201,67
66201518,89
24480669,84
17290787,80
66706247,70
12665433,72
21815491,54
32638841,38
15761597,72
59855945,84
30699367,47
31349807,18
21367327,81
18788834,28
23257862,45
18284019,104
98091767,15
57973781,41
27412468,81
26105740,8
34001341,90
33846084,4
21878474,42
10213034,51
89666972,28
31876257,66
26753516,69
34004480,18
33676750,27
76614259,60
30592055,113
28199695,114
25688318,6
28058323,82
28769531,6
28687369,114
23389437,83
18415345,53
19946937,98
25026302,17
34400494,14
12407297,15
18697098,3
23258361,99
29838669,119
16044056,36
24724082,81
29079468,18
12939083,22
27732871,69
18065245,28
15075218,73
29230517,119
15614475,80
12947044,47
82319921,118
25697264,121
28374453,73
21239428,10
17123290,82
10353129,1
33376359,3
17583578,57
60221669,31
41539854,3
18712751,85
10444401,65
85106217,72
10567096,110
20277847,71
13075083,18
21304833,2
62178945,16
25040008,73
15992250,38
29900395,18
12271501,100
22011368,15
30958002,60
50700088,70
49712248,82
29348560,30
28461211,59
28710398,30
20381443,106
16771097,19
14707569,43
12882075,89
15207874,18
33614393,56
82943287,25
17830403,9
16718060,19
17367510,3
10186897,55
11851814,32
11394669,17
96049139,84
27609075,13
11247905,61
18747781,61
13068357,57
51596430,34
24078431,11
22817672,37
18747356,48
90200935,40
14551179,86
24271097,59
98997281,94
10598182,36
48797854,25
19544544,56
16103754,79
21611755,91
30542444,91
20187305,38
26867077,52
26011848,66
14284158,27
89507301,33
32845520,15
32933884,56
41866981,45
21060240,103
51432037,109
26936771,116
16939652,73
37485843,10
24984443,19
21828988,36
21738561,18
31026865,89
10867142,29
22991334,52
31590988,0
25827832,24
31456649,24
13938522,4
33446792,114
13805853,88
16294640,40
19467957,42
31380443,82
24012000,31
16660411,94
20323840,66
79253895,67
16344207,83
17004658,90
23219194,72
16964342,51
91036230,75
25122938,77
11085000,117
14789834,3
78344337,93
27310813,34
78630559,3
20384326,75
19738017,59
22807274,73
14738929,81
17902865,89
14087939,15
28219585,118
30422289,7
63302579,47
22291878,18
19419954,121
15215274,24
11690244,41
58364206,50
13411703,29
32440864,72
16821206,102
16271492,29
23452089,6
15649012,87
22232379,18
60318299,4
31434931,10
30148376,93
22751411,20
17457368,6
22160748,114
25530001,13
20317250,7
33030699,51
25316827,76
70510937,33
17404615,100
84463175,69
13889966,18
25879377,120
25300845,55
22746397,12
21131990,13
12682645,34
21449070,7
23583789,112
33381980,53
14531879,48
15191895,66
16994185,11
92103059,25
29115638,24
49012145,90
13096921,18
31155403,3
19732630,18
26392764,99
29430318,26
14470545,6
31707871,98
26461454,44
30086392,10
28919479,61
28842243,8
30055140,81
15077429,16
93010216,97
17470699,101
27529736,11
14868473,19
30969691,6
36677025,23
64724677,92
24173977,104
33125664,72
19035461,3
24773982,120
32750718,18
25895885,80
24053280,108
52198592,1
24271556,27
27949356,92
26159720,58
16089833,87
44761057,18
20788083,24
10470289,9
33153230,16
33340135,74
20974605,24
21494947,68
21815790,98
11517294,50
30154358,1
59617358,12
35125517,44
13139218,57
32426140,104
26187047,72
66452793,40
30398383,0
32944665,72
25623465,5
12191611,31
20717412,80
25217205,45
23508450,89
27958462,30
26269578,78
30679212,51
24902388,65
97783628,107
22549398,105
14281432,27
15187980,121
57308810,86
18197804,83
19082414,107
41179472,18
31599319,5
24622789,29
31424785,18
19048020,70
12139770,63
25140246,51
65316510,86
54987328,69
39309377,111
17925419,27
29422772,67
70783002,22
74926610,120
92239854,117
14995373,43
29787811,60
68185495,90
53950808,53
18562405,46
63351648,66
20012827,40
99179548,95
15744573,87
23680567,67
22791898,72
16686027,59
22309304,15
24378191,39
29419608,39
27517183,44
